PROVINCIA,CANTÓN,POBLACION TOTAL,POBLACION TOTAL HOMBRES,POBLACION TOTAL MUJERES,VIVIENDA TOTALES,VIVIENDAS TOTALES OCUPADAS,VIVIENDAS TOTALES DESOCUPADAS
SAN JOSÉ,SAN JOSÉ,352381,168817,183564,116872,111228,5644
SAN JOSÉ,ESCAZÚ,71500,33923,37577,26392,24379,2013
SAN JOSÉ,DESAMPARADOS,223226,106209,117017,74568,70380,4188
SAN JOSÉ,PURISCAL,38525,18685,19840,14902,13438,1464
SAN JOSÉ,TARRAZÚ,17810,9323,8487,7331,5778,1553
SAN JOSÉ,ASERRÍ,59588,29565,30023,20941,18964,1977
SAN JOSÉ,MORA,32348,15732,16616,12326,10848,1478
SAN JOSÉ,GOICOECHEA,132104,62090,70014,43361,41266,2095
SAN JOSÉ,SANTA ANA,58020,29503,28517,21206,19548,1658
SAN JOSÉ,ALAJUELITA,81012,38976,42036,25008,22687,2321
SAN JOSÉ,VÁZQUEZ DE CORONADO,67078,32502,34576,22610,21503,1107
SAN JOSÉ,ACOSTA,22542,10775,11767,9138,7845,1293
SAN JOSÉ,TIBÁS,74592,36040,38552,27041,25320,1721
SAN JOSÉ,MORAVIA,59546,26869,32677,20781,19618,1163
SAN JOSÉ,MONTES DE OCA,53862,24768,29094,23707,21066,2641
SAN JOSÉ,TURRUBARES,6173,3292,2881,3109,2235,874
SAN JOSÉ,DOTA,9364,4904,4460,4038,3041,997
SAN JOSÉ,CURRIDABAT,71026,34467,36559,27454,24021,3433
SAN JOSÉ,PÉREZ ZELEDÓN,156917,80643,76274,63277,54962,8315
SAN JOSÉ,LEÓN CORTÉS CASTRO,13553,6529,7024,5401,4353,1048
ALAJUELA,ALAJUELA,322143,159817,162326,110560,101968,8592
ALAJUELA,SAN RAMÓN,93264,46321,46943,36416,31246,5170
ALAJUELA,GRECIA,76226,36848,39378,26746,25136,1610
ALAJUELA,SAN MATEO,6952,3691,3261,3814,2276,1538
ALAJUELA,ATENAS,30407,14788,15619,11257,10086,1171
ALAJUELA,NARANJO,46647,22839,23808,16129,14594,1535
ALAJUELA,PALMARES,39148,18824,20324,13318,12453,865
ALAJUELA,POÁS,36207,18182,18025,12145,10998,1147
ALAJUELA,OROTINA,24217,12252,11965,10136,7810,2326
ALAJUELA,SAN CARLOS,198742,101847,96895,72258,62809,9449
ALAJUELA,ZARCERO,15153,7261,7892,5017,4695,322
ALAJUELA,SARCHÍ,21562,10942,10620,7908,6966,942
ALAJUELA,UPALA,57361,30060,27301,20497,17682,2815
ALAJUELA,LOS CHILES,34701,18410,16291,12043,10525,1518
ALAJUELA,GUATUSO,18316,9597,8719,7188,5902,1286
ALAJUELA,RÍO CUARTO,14418,7638,6780,4688,4013,675
CARTAGO,CARTAGO,165417,80732,84685,53652,49257,4395
CARTAGO,PARAÍSO,65941,32341,33600,20948,19069,1879
CARTAGO,LA UNIÓN,99539,49352,50187,32827,31235,1592
CARTAGO,JIMÉNEZ,18710,9208,9502,7138,6040,1098
CARTAGO,TURRIALBA,82065,40905,41160,32994,29205,3789
CARTAGO,ALVARADO,17134,8548,8586,5485,4974,511
CARTAGO,OREAMUNO,48911,23776,25135,14601,13675,926
CARTAGO,EL GUARCO,47375,23211,24164,15626,14235,1391
HEREDIA,HEREDIA,131901,62891,69010,45401,43160,2241
HEREDIA,BARVA,47699,22501,25198,16368,15401,967
HEREDIA,SANTO DOMINGO,45932,22621,23311,15579,14719,860
HEREDIA,SANTA BÁRBARA,39133,19533,19600,13440,12452,988
HEREDIA,SAN RAFAEL,48848,24066,24782,16775,15649,1126
HEREDIA,SAN ISIDRO,22806,11524,11282,7694,7279,415
HEREDIA,BELÉN,23759,11315,12444,8216,7710,506
HEREDIA,FLORES,22026,11067,10959,7467,7200,267
HEREDIA,SAN PABLO,29860,14705,15155,10440,9906,534
HEREDIA,SARAPIQUÍ,67153,34884,32269,27368,21156,6212
GUANACASTE,LIBERIA,80130,40188,39942,27178,23289,3889
GUANACASTE,NICOYA,66268,34307,31961,26509,22199,4310
GUANACASTE,SANTA CRUZ,72366,37393,34973,34088,25426,8662
GUANACASTE,BAGACES,23709,12602,11107,8798,7545,1253
GUANACASTE,CARRILLO,48227,24578,23649,20551,14693,5858
GUANACASTE,CAÑAS,31738,16099,15639,10595,9388,1207
GUANACASTE,ABANGARES,22211,11405,10806,8734,7319,1415
GUANACASTE,TILARÁN,21232,10919,10313,8867,7512,1355
GUANACASTE,NANDAYURE,11874,6270,5604,5229,4071,1158
GUANACASTE,LA CRUZ,26829,13793,13036,9443,7786,1657
GUANACASTE,HOJANCHA,8224,4122,4102,3755,2732,1023
PUNTARENAS,PUNTARENAS,141697,71940,69757,55255,45816,9439
PUNTARENAS,ESPARZA,34808,17818,16990,13717,11146,2571
PUNTARENAS,BUENOS AIRES,50562,26097,24465,19747,17295,2452
PUNTARENAS,MONTES DE ORO,16395,8778,7617,6207,5458,749
PUNTARENAS,OSA,36088,18711,17377,18556,13837,4719
PUNTARENAS,QUEPOS,32416,17296,15120,13545,10996,2549
PUNTARENAS,GOLFITO,44086,23117,20969,17762,15439,2323
PUNTARENAS,COTO BRUS,46351,23643,22708,18888,16138,2750
PUNTARENAS,PARRITA,20068,10093,9975,9895,6614,3281
PUNTARENAS,CORREDORES,51023,27314,23709,18764,16588,2176
PUNTARENAS,GARABITO,26672,14611,12061,16655,9282,7373
PUNTARENAS,PUERTO JIMÉNEZ,10644,5596,5048,4464,3867,597
PUNTARENAS,MONTEVERDE,5019,2557,2462,2126,1487,689
LIMÓN,LIMÓN,116457,61157,55300,40516,34677,5839
LIMÓN,POCOCÍ,146320,75217,71103,53592,46883,6709
LIMÓN,SIQUIRRES,63765,32731,31034,24505,20621,3884
LIMÓN,TALAMANCA,48906,26169,22737,19555,14984,4571
LIMÓN,MATINA,45329,24183,21146,15089,13698,1391
LIMÓN,GUÁCIMO,49606,25184,24422,18438,15988,2450
